"","Año","Clave_Ent","Entidad","Bien.jurídico.afectado","Tipo.de.delito","Subtipo.de.delito","Modalidad","Sexo","Rango.de.edad","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"79",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",1,1,0,0,1,1,1,0,0,0,0,0
"80",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"81",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",3,4,9,7,5,6,11,12,10,7,13,12
"82",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Adultos (18 y más)",0,0,1,1,2,1,0,0,3,4,2,0
"83",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Adultos (18 y más)",1,0,3,3,0,2,3,3,2,2,3,4
"84",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Adultos (18 y más)",0,0,1,0,2,0,0,0,0,0,0,0
"85",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Adultos (18 y más)",1,2,1,0,0,0,0,0,0,0,0,0
"86",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Adultos (18 y más)",1,0,1,3,0,1,1,0,0,0,0,0
"87",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Adultos (18 y más)",1,0,1,1,1,0,1,0,0,0,2,1
"88",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Adultos (18 y más)",0,0,0,0,0,0,0,0,0,0,0,1
"89",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","No especificado",1,4,0,0,2,3,1,1,3,1,1,6
"90",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","No especificado",0,0,0,0,0,0,0,1,0,3,1,0
"91",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","No especificado",1,1,0,1,1,1,2,2,0,3,1,3
"92",2018,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","No especificado",0,0,0,0,1,0,0,1,1,0,0,1
"93",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","No especificado",1,0,0,0,0,0,0,0,1,0,0,1
"94",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"95",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","No especificado",0,2,0,0,0,0,0,0,1,0,0,2
"96",2018,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"97",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",2,1,0,0,2,2,0,0,0,1,1,1
"98",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"99",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",2,1,1,0,0,0,0,0,0,0,0,0
"100",2019,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,1,0,0,0,0,0
"101",2019,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,1,1,0,0,0,0,0,0,0,1
