"","fecha","zona","sexo","registro","mes","año","month"
"233",2020-05-17,"AVGM","Mujeres",20,"2020-05","2020","Mayo"
"234",2020-05-17,"Puerto Vallarta","Mujeres",3,"2020-05","2020","Mayo"
"235",2020-05-18,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"236",2020-05-18,"Estado de Jalisco","Mujeres",54,"2020-05","2020","Mayo"
"237",2020-05-18,"AVGM","Mujeres",35,"2020-05","2020","Mayo"
"238",2020-05-19,"AVGM","Mujeres",24,"2020-05","2020","Mayo"
"239",2020-05-19,"Puerto Vallarta","Mujeres",4,"2020-05","2020","Mayo"
"240",2020-05-19,"Estado de Jalisco","Mujeres",46,"2020-05","2020","Mayo"
"241",2020-05-20,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"242",2020-05-20,"AVGM","Mujeres",27,"2020-05","2020","Mayo"
"243",2020-05-20,"Estado de Jalisco","Mujeres",33,"2020-05","2020","Mayo"
"244",2020-05-21,"AVGM","Mujeres",29,"2020-05","2020","Mayo"
"245",2020-05-21,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"246",2020-05-21,"Estado de Jalisco","Mujeres",44,"2020-05","2020","Mayo"
"247",2020-05-22,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"248",2020-05-22,"Estado de Jalisco","Mujeres",31,"2020-05","2020","Mayo"
"249",2020-05-22,"AVGM","Mujeres",21,"2020-05","2020","Mayo"
"250",2020-05-23,"AVGM","Mujeres",12,"2020-05","2020","Mayo"
"251",2020-05-23,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"252",2020-05-23,"Estado de Jalisco","Mujeres",14,"2020-05","2020","Mayo"
"253",2020-05-24,"Puerto Vallarta","Mujeres",0,"2020-05","2020","Mayo"
"254",2020-05-24,"Estado de Jalisco","Mujeres",11,"2020-05","2020","Mayo"
"255",2020-05-24,"AVGM","Mujeres",9,"2020-05","2020","Mayo"
"256",2020-05-25,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"257",2020-05-25,"AVGM","Mujeres",35,"2020-05","2020","Mayo"
"258",2020-05-25,"Estado de Jalisco","Mujeres",48,"2020-05","2020","Mayo"
"259",2020-05-26,"AVGM","Mujeres",31,"2020-05","2020","Mayo"
"260",2020-05-26,"Puerto Vallarta","Mujeres",1,"2020-05","2020","Mayo"
"261",2020-05-26,"Estado de Jalisco","Mujeres",48,"2020-05","2020","Mayo"
"262",2020-05-27,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
"263",2020-05-27,"AVGM","Mujeres",28,"2020-05","2020","Mayo"
"264",2020-05-27,"Estado de Jalisco","Mujeres",36,"2020-05","2020","Mayo"
"265",2020-05-28,"Puerto Vallarta","Mujeres",2,"2020-05","2020","Mayo"
